expense_id,employee_id,category,amount,approval_status,date,project_id
EXP-0114,EMP-0214,client_entertainment,12935,approved,2026-02-16,PRJ-022
EXP-0115,EMP-0205,miscellaneous,3764,submitted,2026-06-15,PRJ-018
EXP-0116,EMP-0019,client_entertainment,44219,approved,2026-03-06,PRJ-004
EXP-0117,EMP-0051,miscellaneous,32128,rejected,2026-04-02,PRJ-005
EXP-0118,EMP-0172,hardware,6756,rejected,2026-06-08,PRJ-003
EXP-0119,EMP-0231,hardware,21026,submitted,2026-04-26,PRJ-011
EXP-0120,EMP-0158,client_entertainment,45646,pending,2026-05-25,PRJ-019
EXP-0121,EMP-0094,training,28269,pending,2026-01-02,PRJ-011
EXP-0122,EMP-0064,hardware,46874,submitted,2026-03-12,PRJ-027
EXP-0123,EMP-0093,software,44736,rejected,2026-05-03,PRJ-015
EXP-0124,EMP-0115,training,20219,submitted,2026-05-22,PRJ-004
EXP-0125,EMP-0045,miscellaneous,5572,rejected,2026-02-05,PRJ-029
EXP-0126,EMP-0138,hardware,17451,approved,2026-07-06,PRJ-003
EXP-0127,EMP-0229,travel,33438,approved,2026-07-28,PRJ-019
EXP-0128,EMP-0149,transport,38868,pending,2026-01-10,PRJ-018
EXP-0129,EMP-0067,telecom,35568,submitted,2026-06-17,PRJ-025
EXP-0130,EMP-0039,training,25922,pending,2026-07-17,PRJ-019
EXP-0131,EMP-0188,client_entertainment,8974,submitted,2026-05-09,PRJ-017
EXP-0132,EMP-0024,transport,24046,approved,2026-06-19,PRJ-008
EXP-0133,EMP-0218,miscellaneous,45037,pending,2026-07-13,PRJ-017
EXP-0134,EMP-0036,office_supplies,10634,pending,2026-05-25,PRJ-019
EXP-0135,EMP-0169,software,48429,submitted,2026-04-02,PRJ-002
EXP-0136,EMP-0057,office_supplies,15387,approved,2026-03-09,PRJ-012
EXP-0137,EMP-0060,travel,44016,pending,2026-05-13,PRJ-030
EXP-0138,EMP-0203,training,25634,submitted,2026-04-27,PRJ-029
EXP-0139,EMP-0012,travel,42701,rejected,2026-01-27,PRJ-023
EXP-0140,EMP-0248,telecom,41721,rejected,2026-07-09,PRJ-009
EXP-0141,EMP-0149,telecom,37566,pending,2026-04-07,PRJ-021
EXP-0142,EMP-0097,training,38714,approved,2026-05-13,PRJ-009
EXP-0143,EMP-0097,hardware,34040,submitted,2026-04-01,PRJ-027
EXP-0144,EMP-0223,training,32106,submitted,2026-06-04,PRJ-001
EXP-0145,EMP-0129,software,29029,pending,2026-02-28,PRJ-003
EXP-0146,EMP-0132,client_entertainment,14061,pending,2026-02-17,PRJ-006
EXP-0147,EMP-0093,miscellaneous,47209,approved,2026-06-19,PRJ-008
EXP-0148,EMP-0107,training,47402,approved,2026-05-04,PRJ-022
EXP-0149,EMP-0123,office_supplies,14008,pending,2026-06-15,PRJ-027
EXP-0150,EMP-0106,travel,16169,approved,2026-02-02,PRJ-019
EXP-0151,EMP-0152,software,9029,approved,2026-05-27,PRJ-005
EXP-0152,EMP-0015,software,17125,pending,2026-05-13,PRJ-013
EXP-0153,EMP-0154,miscellaneous,41987,approved,2026-07-04,PRJ-024
EXP-0154,EMP-0170,client_entertainment,5819,pending,2026-04-25,PRJ-020
EXP-0155,EMP-0121,office_supplies,11378,pending,2026-04-16,PRJ-020
EXP-0156,EMP-0037,miscellaneous,12119,rejected,2026-02-12,PRJ-024
EXP-0157,EMP-0176,training,29918,approved,2026-02-28,PRJ-013
EXP-0158,EMP-0099,software,7315,approved,2026-02-21,PRJ-017
EXP-0159,EMP-0221,telecom,45050,submitted,2026-02-08,PRJ-020
EXP-0160,EMP-0025,software,31386,approved,2026-07-20,PRJ-018
EXP-0161,EMP-0129,meals,6307,submitted,2026-06-18,PRJ-005
EXP-0162,EMP-0231,miscellaneous,35542,approved,2026-07-18,PRJ-022
EXP-0163,EMP-0167,transport,34412,submitted,2026-04-05,PRJ-028
EXP-0164,EMP-0012,telecom,28312,pending,2026-07-25,PRJ-016
EXP-0165,EMP-0203,transport,23171,approved,2026-04-19,PRJ-005
EXP-0166,EMP-0066,office_supplies,15437,approved,2026-03-14,PRJ-020
EXP-0167,EMP-0225,telecom,26981,rejected,2026-02-18,PRJ-001
EXP-0168,EMP-0182,travel,38078,approved,2026-05-14,PRJ-001
EXP-0169,EMP-0097,hardware,45273,rejected,2026-04-15,PRJ-012
EXP-0170,EMP-0028,software,28123,rejected,2026-03-08,PRJ-028
EXP-0171,EMP-0138,transport,37206,rejected,2026-06-06,PRJ-009
EXP-0172,EMP-0175,transport,49677,pending,2026-04-16,PRJ-018
EXP-0173,EMP-0201,telecom,31819,pending,2026-04-05,PRJ-018
EXP-0174,EMP-0143,office_supplies,16831,rejected,2026-05-28,PRJ-012
EXP-0175,EMP-0199,transport,48420,pending,2026-06-18,PRJ-004
EXP-0176,EMP-0192,hardware,29468,pending,2026-01-26,PRJ-007
EXP-0177,EMP-0131,transport,22379,approved,2026-02-11,PRJ-013
EXP-0178,EMP-0247,travel,6169,pending,2026-05-01,PRJ-030
EXP-0179,EMP-0154,transport,5976,approved,2026-03-09,PRJ-008
EXP-0180,EMP-0095,meals,40113,approved,2026-07-05,PRJ-013
EXP-0181,EMP-0239,transport,40436,rejected,2026-07-02,PRJ-020
EXP-0182,EMP-0015,software,42162,submitted,2026-04-23,PRJ-001
EXP-0183,EMP-0052,telecom,18943,pending,2026-01-09,PRJ-026
EXP-0184,EMP-0154,telecom,34004,pending,2026-06-07,PRJ-006
EXP-0185,EMP-0173,travel,23775,pending,2026-06-17,PRJ-001
EXP-0186,EMP-0250,software,5891,rejected,2026-07-19,PRJ-013
EXP-0187,EMP-0091,transport,26771,pending,2026-05-13,PRJ-001
EXP-0188,EMP-0189,meals,6109,rejected,2026-07-05,PRJ-027
EXP-0189,EMP-0144,miscellaneous,23012,rejected,2026-07-28,PRJ-009
EXP-0190,EMP-0058,miscellaneous,12948,submitted,2026-04-14,PRJ-019
EXP-0191,EMP-0002,client_entertainment,11671,submitted,2026-05-10,PRJ-004
EXP-0192,EMP-0144,meals,33175,rejected,2026-03-29,PRJ-004
EXP-0193,EMP-0206,telecom,17088,rejected,2026-06-27,PRJ-015
EXP-0194,EMP-0248,transport,37107,submitted,2026-07-17,PRJ-008
EXP-0195,EMP-0194,training,30271,submitted,2026-05-31,PRJ-028
EXP-0196,EMP-0008,office_supplies,7819,rejected,2026-01-18,PRJ-013
EXP-0197,EMP-0163,hardware,44562,pending,2026-07-24,PRJ-011
EXP-0198,EMP-0106,training,34049,approved,2026-06-29,PRJ-027
EXP-0199,EMP-0068,hardware,19027,approved,2026-04-13,PRJ-022
EXP-0200,EMP-0192,training,5182,pending,2026-05-02,PRJ-011
EXP-0201,EMP-0091,hardware,37798,rejected,2026-02-16,PRJ-024
EXP-0202,EMP-0175,hardware,32902,pending,2026-03-02,PRJ-024
EXP-0203,EMP-0062,client_entertainment,13751,pending,2026-02-21,PRJ-027
EXP-0204,EMP-0064,miscellaneous,23532,pending,2026-07-19,PRJ-004
EXP-0205,EMP-0031,meals,44490,submitted,2026-06-07,PRJ-001
EXP-0206,EMP-0196,telecom,2969,submitted,2026-04-06,PRJ-020
EXP-0207,EMP-0081,office_supplies,37851,rejected,2026-05-06,PRJ-006
EXP-0208,EMP-0196,telecom,18567,submitted,2026-02-26,PRJ-025
EXP-0209,EMP-0148,software,3748,submitted,2026-05-03,PRJ-018
EXP-0210,EMP-0011,telecom,22959,submitted,2026-06-25,PRJ-025
EXP-0211,EMP-0045,office_supplies,8088,submitted,2026-03-22,PRJ-023
EXP-0212,EMP-0003,travel,44378,pending,2026-04-08,PRJ-019
EXP-0213,EMP-0026,training,23897,rejected,2026-02-17,PRJ-018
EXP-0214,EMP-0068,hardware,17855,submitted,2026-06-06,PRJ-011
EXP-0215,EMP-0094,software,32887,submitted,2026-02-23,PRJ-014
EXP-0216,EMP-0180,training,24125,submitted,2026-03-13,PRJ-015
EXP-0217,EMP-0047,miscellaneous,8794,pending,2026-07-28,PRJ-004
EXP-0218,EMP-0185,client_entertainment,15653,submitted,2026-04-08,PRJ-007
EXP-0219,EMP-0038,software,31197,approved,2026-02-15,PRJ-014
EXP-0220,EMP-0128,software,41530,rejected,2026-07-21,PRJ-016
EXP-0221,EMP-0077,client_entertainment,37040,approved,2026-04-12,PRJ-004
EXP-0222,EMP-0177,software,4134,pending,2026-07-28,PRJ-009
EXP-0223,EMP-0122,meals,29681,rejected,2026-03-08,PRJ-012
EXP-0224,EMP-0093,telecom,36735,rejected,2026-03-30,PRJ-001
EXP-0225,EMP-0106,meals,23209,pending,2026-05-28,PRJ-019
EXP-0226,EMP-0167,telecom,11638,rejected,2026-04-01,PRJ-011
EXP-0227,EMP-0173,telecom,32148,submitted,2026-01-21,PRJ-013
EXP-0228,EMP-0158,client_entertainment,30592,pending,2026-02-12,PRJ-021
EXP-0229,EMP-0207,training,27844,submitted,2026-01-19,PRJ-003
EXP-0230,EMP-0042,training,15156,rejected,2026-03-23,PRJ-021
EXP-0231,EMP-0075,client_entertainment,39874,submitted,2026-03-11,PRJ-029
EXP-0232,EMP-0114,training,49214,submitted,2026-04-16,PRJ-006
EXP-0233,EMP-0048,travel,8394,pending,2026-06-19,PRJ-009
EXP-0234,EMP-0241,meals,14000,pending,2026-04-12,PRJ-004
EXP-0235,EMP-0025,meals,31210,approved,2026-01-07,PRJ-025
EXP-0236,EMP-0102,telecom,5655,approved,2026-03-09,PRJ-020
EXP-0237,EMP-0040,meals,43115,submitted,2026-03-21,PRJ-008
EXP-0238,EMP-0064,client_entertainment,29242,pending,2026-02-03,PRJ-017
EXP-0239,EMP-0215,software,2072,approved,2026-06-19,PRJ-012
EXP-0240,EMP-0221,training,31405,submitted,2026-05-19,PRJ-030
EXP-0241,EMP-0070,telecom,29353,pending,2026-06-28,PRJ-018
EXP-0242,EMP-0046,miscellaneous,39363,submitted,2026-06-11,PRJ-024
EXP-0243,EMP-0163,miscellaneous,28706,rejected,2026-03-30,PRJ-016
EXP-0244,EMP-0139,hardware,6069,submitted,2026-03-20,PRJ-012
EXP-0245,EMP-0106,client_entertainment,10405,rejected,2026-01-03,PRJ-001
EXP-0246,EMP-0134,software,22736,rejected,2026-05-01,PRJ-018
EXP-0247,EMP-0003,office_supplies,49710,submitted,2026-03-18,PRJ-001
EXP-0248,EMP-0197,transport,19396,pending,2026-07-23,PRJ-001
EXP-0249,EMP-0141,training,12558,submitted,2026-05-24,PRJ-014
EXP-0250,EMP-0102,hardware,10900,submitted,2026-04-07,PRJ-008
EXP-0251,EMP-0068,meals,27871,pending,2026-05-13,PRJ-025
EXP-0252,EMP-0205,miscellaneous,45677,rejected,2026-03-14,PRJ-021
EXP-0253,EMP-0191,telecom,17817,submitted,2026-02-18,PRJ-028
EXP-0254,EMP-0018,software,9153,rejected,2026-01-29,PRJ-021
EXP-0255,EMP-0117,miscellaneous,29872,rejected,2026-06-29,PRJ-020
EXP-0256,EMP-0126,hardware,21213,approved,2026-02-08,PRJ-002
EXP-0257,EMP-0249,telecom,1650,pending,2026-01-27,PRJ-010
EXP-0258,EMP-0069,software,47071,submitted,2026-07-06,PRJ-001
EXP-0259,EMP-0060,meals,10075,approved,2026-05-07,PRJ-007
EXP-0260,EMP-0088,transport,20619,submitted,2026-04-06,PRJ-015
EXP-0261,EMP-0179,travel,21843,approved,2026-07-12,PRJ-005
EXP-0262,EMP-0015,client_entertainment,25917,approved,2026-05-20,PRJ-016
EXP-0263,EMP-0047,hardware,16589,submitted,2026-01-04,PRJ-004
EXP-0264,EMP-0250,hardware,25418,submitted,2026-03-05,PRJ-024
EXP-0265,EMP-0011,hardware,30401,approved,2026-05-14,PRJ-022
EXP-0266,EMP-0054,office_supplies,25701,rejected,2026-03-24,PRJ-006
EXP-0267,EMP-0162,travel,49006,approved,2026-03-06,PRJ-016
EXP-0268,EMP-0164,client_entertainment,13223,rejected,2026-01-14,PRJ-028
EXP-0269,EMP-0171,hardware,7600,pending,2026-06-12,PRJ-014
EXP-0270,EMP-0084,travel,11168,rejected,2026-05-30,PRJ-004
EXP-0271,EMP-0102,hardware,785,approved,2026-05-29,PRJ-026
EXP-0272,EMP-0177,office_supplies,45315,pending,2026-04-06,PRJ-025
EXP-0273,EMP-0023,hardware,10534,submitted,2026-01-24,PRJ-022
EXP-0274,EMP-0159,training,49978,approved,2026-01-16,PRJ-012
EXP-0275,EMP-0166,software,46162,approved,2026-02-02,PRJ-016
EXP-0276,EMP-0060,training,36792,rejected,2026-07-26,PRJ-029
EXP-0277,EMP-0113,hardware,1599,submitted,2026-04-02,PRJ-024
EXP-0278,EMP-0035,client_entertainment,2787,submitted,2026-06-30,PRJ-015
EXP-0279,EMP-0144,client_entertainment,35768,submitted,2026-02-18,PRJ-019
EXP-0280,EMP-0048,telecom,22984,rejected,2026-07-07,PRJ-015
EXP-0281,EMP-0071,miscellaneous,36541,pending,2026-01-18,PRJ-017
EXP-0282,EMP-0040,office_supplies,19577,rejected,2026-05-19,PRJ-012
EXP-0283,EMP-0117,travel,42013,submitted,2026-07-07,PRJ-006
EXP-0284,EMP-0227,travel,40814,rejected,2026-07-18,PRJ-020
EXP-0285,EMP-0062,training,47451,approved,2026-06-18,PRJ-018
EXP-0286,EMP-0210,transport,12643,submitted,2026-07-16,PRJ-018
EXP-0287,EMP-0040,miscellaneous,18755,rejected,2026-04-15,PRJ-021
EXP-0288,EMP-0083,meals,6508,approved,2026-01-12,PRJ-027
EXP-0289,EMP-0241,software,11907,approved,2026-02-21,PRJ-004
EXP-0290,EMP-0125,hardware,6671,approved,2026-05-27,PRJ-021
EXP-0291,EMP-0215,transport,43317,submitted,2026-05-15,PRJ-020
EXP-0292,EMP-0180,miscellaneous,16973,approved,2026-04-04,PRJ-008
EXP-0293,EMP-0156,meals,1057,pending,2026-06-17,PRJ-016
EXP-0294,EMP-0238,meals,30874,approved,2026-04-03,PRJ-018
EXP-0295,EMP-0191,transport,24387,approved,2026-07-30,PRJ-020
EXP-0296,EMP-0069,telecom,2864,approved,2026-03-19,PRJ-003
EXP-0297,EMP-0242,hardware,34244,approved,2026-01-26,PRJ-024
EXP-0298,EMP-0060,telecom,25453,pending,2026-02-19,PRJ-017
EXP-0299,EMP-0169,hardware,37557,pending,2026-05-23,PRJ-024
EXP-0300,EMP-0143,transport,49096,approved,2026-07-16,PRJ-021
EXP-0301,EMP-0148,training,44403,submitted,2026-06-29,PRJ-022
EXP-0302,EMP-0110,meals,11132,pending,2026-05-21,PRJ-013
EXP-0303,EMP-0130,training,43292,pending,2026-05-17,PRJ-020
EXP-0304,EMP-0114,training,20853,rejected,2026-04-06,PRJ-014
EXP-0305,EMP-0196,transport,47770,rejected,2026-06-05,PRJ-008
EXP-0306,EMP-0145,telecom,14219,submitted,2026-07-16,PRJ-018
EXP-0307,EMP-0238,client_entertainment,23793,submitted,2026-04-25,PRJ-013
EXP-0308,EMP-0001,travel,18843,approved,2026-05-13,PRJ-005
EXP-0309,EMP-0228,client_entertainment,630,rejected,2026-02-26,PRJ-007
EXP-0310,EMP-0220,training,1622,rejected,2026-05-22,PRJ-017
EXP-0311,EMP-0143,miscellaneous,37661,pending,2026-01-25,PRJ-002
EXP-0312,EMP-0118,training,10430,pending,2026-03-09,PRJ-012
EXP-0313,EMP-0228,miscellaneous,16574,pending,2026-03-07,PRJ-026
EXP-0314,EMP-0077,meals,37587,submitted,2026-05-26,PRJ-030
EXP-0315,EMP-0056,meals,47620,rejected,2026-07-22,PRJ-016
EXP-0316,EMP-0045,office_supplies,45393,approved,2026-06-02,PRJ-021
EXP-0317,EMP-0077,travel,48093,submitted,2026-01-21,PRJ-025
EXP-0318,EMP-0015,training,23001,submitted,2026-04-17,PRJ-030
EXP-0319,EMP-0223,meals,15058,approved,2026-06-12,PRJ-025
EXP-0320,EMP-0162,transport,3747,rejected,2026-05-15,PRJ-002
EXP-0321,EMP-0082,telecom,37222,pending,2026-03-25,PRJ-017
EXP-0322,EMP-0179,hardware,10239,approved,2026-06-22,PRJ-024
EXP-0323,EMP-0101,office_supplies,49538,approved,2026-02-26,PRJ-014
EXP-0324,EMP-0075,transport,9900,pending,2026-03-28,PRJ-003
EXP-0325,EMP-0122,miscellaneous,49044,approved,2026-05-21,PRJ-013
EXP-0326,EMP-0068,meals,26317,submitted,2026-07-18,PRJ-023
EXP-0327,EMP-0034,software,31717,pending,2026-05-05,PRJ-013
EXP-0328,EMP-0167,miscellaneous,13051,pending,2026-03-04,PRJ-003
EXP-0329,EMP-0069,transport,21395,approved,2026-01-29,PRJ-022
EXP-0330,EMP-0106,transport,24138,rejected,2026-02-18,PRJ-011
EXP-0331,EMP-0089,miscellaneous,43152,approved,2026-07-17,PRJ-010
EXP-0332,EMP-0044,training,40584,submitted,2026-06-09,PRJ-005
EXP-0333,EMP-0113,travel,15501,pending,2026-06-25,PRJ-012
EXP-0334,EMP-0040,meals,7564,approved,2026-03-04,PRJ-020
EXP-0335,EMP-0238,software,19053,approved,2026-03-29,PRJ-023
EXP-0336,EMP-0206,meals,20196,submitted,2026-05-01,PRJ-001
EXP-0337,EMP-0085,hardware,48697,pending,2026-02-22,PRJ-018
EXP-0338,EMP-0134,client_entertainment,36166,submitted,2026-06-09,PRJ-024
EXP-0339,EMP-0037,travel,24881,approved,2026-03-07,PRJ-006
EXP-0340,EMP-0016,client_entertainment,13352,rejected,2026-01-14,PRJ-015
EXP-0341,EMP-0168,travel,4564,submitted,2026-06-19,PRJ-009
EXP-0342,EMP-0170,training,7270,approved,2026-03-16,PRJ-028
EXP-0343,EMP-0227,transport,15349,submitted,2026-05-11,PRJ-023
EXP-0344,EMP-0026,training,31962,approved,2026-02-17,PRJ-007
EXP-0345,EMP-0129,office_supplies,36945,approved,2026-01-11,PRJ-008
EXP-0346,EMP-0237,telecom,20183,rejected,2026-05-06,PRJ-013
EXP-0347,EMP-0191,software,1404,rejected,2026-06-25,PRJ-012
EXP-0348,EMP-0091,client_entertainment,15679,rejected,2026-07-27,PRJ-002
EXP-0349,EMP-0161,client_entertainment,25573,approved,2026-05-23,PRJ-009
EXP-0350,EMP-0058,software,22599,submitted,2026-06-18,PRJ-005
EXP-0351,EMP-0023,transport,34325,pending,2026-04-17,PRJ-008
EXP-0352,EMP-0147,software,28148,rejected,2026-06-04,PRJ-011
EXP-0353,EMP-0115,telecom,8835,pending,2026-06-17,PRJ-005
EXP-0354,EMP-0149,telecom,45029,pending,2026-02-05,PRJ-010
EXP-0355,EMP-0177,telecom,9063,submitted,2026-07-17,PRJ-005
EXP-0356,EMP-0168,miscellaneous,10557,rejected,2026-01-18,PRJ-018
EXP-0357,EMP-0137,meals,12267,rejected,2026-02-07,PRJ-024
EXP-0358,EMP-0008,training,27334,submitted,2026-03-19,PRJ-015
EXP-0359,EMP-0191,client_entertainment,10158,pending,2026-01-28,PRJ-005
EXP-0360,EMP-0048,travel,40306,rejected,2026-06-05,PRJ-019
EXP-0361,EMP-0157,hardware,39283,pending,2026-03-01,PRJ-022
EXP-0362,EMP-0007,training,5408,submitted,2026-02-04,PRJ-017
