invoice_id,customer,amount,currency,invoice_date,due_date,payment_status,project_id
INV-202604-0132,Tech Mahindra,405910,INR,2026-04-22,2026-05-22,overdue,PRJ-006
INV-202606-0133,ACME Manufacturing,1423813,SGD,2026-06-04,2026-07-04,draft,PRJ-015
INV-202601-0134,Titan,1391075,INR,2026-01-05,2026-02-04,draft,PRJ-013
INV-202606-0135,Raymond,1248488,INR,2026-06-06,2026-07-06,paid,PRJ-012
INV-202605-0136,Amazon India,720162,USD,2026-05-28,2026-06-27,draft,PRJ-004
INV-202606-0137,ICICI Bank,1767642,SGD,2026-06-16,2026-07-16,overdue,PRJ-025
INV-202606-0138,Page Industries,1616360,AED,2026-06-13,2026-07-13,overdue,PRJ-016
INV-202604-0139,Unilever India,1274929,SGD,2026-04-17,2026-05-17,overdue,PRJ-005
INV-202601-0140,Swiggy,963438,INR,2026-01-09,2026-02-08,draft,PRJ-016
INV-202601-0141,ICICI Bank,1327789,USD,2026-01-04,2026-02-03,paid,PRJ-027
INV-202602-0142,Nimbus Health,1054664,INR,2026-02-13,2026-03-15,overdue,PRJ-005
INV-202601-0143,Mahindra Group,1314358,INR,2026-01-22,2026-02-21,draft,PRJ-026
INV-202606-0144,Sun Pharma,433481,AED,2026-06-16,2026-07-16,draft,PRJ-017
INV-202605-0145,Airtel Business,1147575,AED,2026-05-18,2026-06-17,paid,PRJ-025
INV-202604-0146,Bluepeak Logistics,912627,INR,2026-04-15,2026-05-15,overdue,PRJ-028
INV-202601-0147,Asian Paints,938107,SGD,2026-01-02,2026-02-01,pending,PRJ-018
INV-202606-0148,Unilever India,1814307,AED,2026-06-06,2026-07-06,draft,PRJ-014
INV-202604-0149,Infosys Consulting,665275,SGD,2026-04-25,2026-05-25,paid,PRJ-019
INV-202604-0150,ITC Limited,1038765,SGD,2026-04-18,2026-05-18,pending,PRJ-017
INV-202604-0151,Vertex Financial,830793,AED,2026-04-19,2026-05-19,draft,PRJ-020
INV-202603-0152,ITC Limited,749799,AED,2026-03-02,2026-04-01,paid,PRJ-019
INV-202603-0153,Bluepeak Logistics,278850,AED,2026-03-26,2026-04-25,paid,PRJ-025
INV-202601-0154,Coca-Cola India,725666,SGD,2026-01-14,2026-02-13,overdue,PRJ-012
INV-202606-0155,HCL Technologies,746665,INR,2026-06-08,2026-07-08,pending,PRJ-008
INV-202606-0156,Nestle India,664520,INR,2026-06-03,2026-07-03,overdue,PRJ-004
INV-202605-0157,SBI Life,366052,INR,2026-05-11,2026-06-10,paid,PRJ-015
INV-202605-0158,Unilever India,1820615,SGD,2026-05-17,2026-06-16,draft,PRJ-009
INV-202605-0159,Horizon Retail,1469530,SGD,2026-05-01,2026-05-31,overdue,PRJ-013
INV-202605-0160,Samsung India,828520,AED,2026-05-04,2026-06-03,draft,PRJ-004
INV-202603-0161,Raymond,1425811,USD,2026-03-16,2026-04-15,overdue,PRJ-006
INV-202604-0162,PepsiCo India,638140,AED,2026-04-07,2026-05-07,draft,PRJ-021
INV-202605-0163,Freshworks,1660772,INR,2026-05-07,2026-06-06,overdue,PRJ-009
INV-202602-0164,Vertex Financial,633525,SGD,2026-02-20,2026-03-22,paid,PRJ-023
INV-202605-0165,Freshworks,1222559,INR,2026-05-11,2026-06-10,overdue,PRJ-003
INV-202604-0166,Samsung India,1690208,SGD,2026-04-07,2026-05-07,overdue,PRJ-026
INV-202605-0167,Nimbus Health,1376371,AED,2026-05-26,2026-06-25,overdue,PRJ-014
INV-202602-0168,Unilever India,1142352,AED,2026-02-14,2026-03-16,draft,PRJ-009
INV-202606-0169,PepsiCo India,1090807,SGD,2026-06-25,2026-07-25,pending,PRJ-029
INV-202605-0170,Horizon Retail,1326684,USD,2026-05-16,2026-06-15,pending,PRJ-022
INV-202603-0171,Razorpay,1566523,SGD,2026-03-21,2026-04-20,draft,PRJ-030
INV-202605-0172,Samsung India,1533822,INR,2026-05-07,2026-06-06,overdue,PRJ-015
INV-202606-0173,Wipro Healthcare,514100,USD,2026-06-22,2026-07-22,overdue,PRJ-028
INV-202601-0174,Tech Mahindra,870378,AED,2026-01-21,2026-02-20,pending,PRJ-028
INV-202606-0175,HCL Technologies,569802,AED,2026-06-06,2026-07-06,overdue,PRJ-022
INV-202602-0176,Sony India,505200,SGD,2026-02-04,2026-03-06,pending,PRJ-007
INV-202604-0177,Horizon Retail,525032,AED,2026-04-16,2026-05-16,draft,PRJ-014
INV-202602-0178,Nestle India,1909297,INR,2026-02-06,2026-03-08,overdue,PRJ-005
INV-202606-0179,Horizon Retail,551897,AED,2026-06-18,2026-07-18,pending,PRJ-021
INV-202601-0180,Freshworks,98567,SGD,2026-01-02,2026-02-01,paid,PRJ-011
INV-202604-0181,Sony India,634907,INR,2026-04-12,2026-05-12,paid,PRJ-013
INV-202602-0182,CRED,1528829,USD,2026-02-04,2026-03-06,paid,PRJ-017
INV-202604-0183,Unilever India,1748500,AED,2026-04-03,2026-05-03,pending,PRJ-020
INV-202603-0184,Reliance Digital,1631498,AED,2026-03-27,2026-04-26,draft,PRJ-026
INV-202604-0185,Nike India,1570195,USD,2026-04-07,2026-05-07,pending,PRJ-004
INV-202604-0186,Flipkart,459018,AED,2026-04-14,2026-05-14,overdue,PRJ-028
INV-202605-0187,LG India,127284,SGD,2026-05-12,2026-06-11,paid,PRJ-011
INV-202606-0188,Bajaj Auto,898733,SGD,2026-06-08,2026-07-08,overdue,PRJ-029
INV-202603-0189,Paytm,1974973,USD,2026-03-16,2026-04-15,overdue,PRJ-027
INV-202606-0190,Mahindra Group,54195,INR,2026-06-22,2026-07-22,paid,PRJ-023
INV-202603-0191,Paytm,1418444,USD,2026-03-18,2026-04-17,draft,PRJ-010
INV-202606-0192,Coca-Cola India,1479299,AED,2026-06-04,2026-07-04,pending,PRJ-028
INV-202604-0193,Lupin Pharma,824682,INR,2026-04-09,2026-05-09,overdue,PRJ-003
INV-202603-0194,Razorpay,1596847,USD,2026-03-07,2026-04-06,pending,PRJ-030
INV-202606-0195,Lupin Pharma,1334042,AED,2026-06-14,2026-07-14,paid,PRJ-009
INV-202604-0196,MEA Retail Group,1736370,SGD,2026-04-24,2026-05-24,draft,PRJ-030
INV-202601-0197,CRED,707769,SGD,2026-01-27,2026-02-26,pending,PRJ-023
INV-202603-0198,Airtel Business,1071860,INR,2026-03-14,2026-04-13,overdue,PRJ-015
INV-202606-0199,Raymond,67358,INR,2026-06-21,2026-07-21,pending,PRJ-021
INV-202601-0200,Lupin Pharma,1668887,USD,2026-01-13,2026-02-12,pending,PRJ-021
INV-202601-0201,Mahindra Group,667922,INR,2026-01-06,2026-02-05,pending,PRJ-017
INV-202605-0202,Page Industries,1619789,USD,2026-05-22,2026-06-21,draft,PRJ-026
INV-202606-0203,L&T Infotech,956842,SGD,2026-06-05,2026-07-05,overdue,PRJ-006
INV-202603-0204,ITC Limited,1253653,AED,2026-03-07,2026-04-06,paid,PRJ-014
INV-202604-0205,Britannia,391449,SGD,2026-04-27,2026-05-27,pending,PRJ-001
INV-202601-0206,Horizon Retail,1945906,USD,2026-01-15,2026-02-14,pending,PRJ-009
INV-202601-0207,Raymond,1796418,USD,2026-01-13,2026-02-12,draft,PRJ-020
INV-202603-0208,Airtel Business,323002,INR,2026-03-06,2026-04-05,paid,PRJ-001
INV-202604-0209,Page Industries,1112761,SGD,2026-04-27,2026-05-27,draft,PRJ-004
INV-202602-0210,ICICI Bank,1506451,USD,2026-02-28,2026-03-30,overdue,PRJ-010
INV-202602-0211,Nike India,1046345,SGD,2026-02-14,2026-03-16,pending,PRJ-020
INV-202606-0212,HDFC Bank,1738239,AED,2026-06-22,2026-07-22,pending,PRJ-014
INV-202601-0213,Flipkart,866737,USD,2026-01-10,2026-02-09,overdue,PRJ-008
INV-202603-0214,PepsiCo India,955766,USD,2026-03-19,2026-04-18,draft,PRJ-003
INV-202603-0215,ACME Manufacturing,993316,USD,2026-03-23,2026-04-22,draft,PRJ-022
INV-202606-0216,HDFC Bank,1505973,SGD,2026-06-14,2026-07-14,overdue,PRJ-003
INV-202601-0217,Tata Motors,1178113,INR,2026-01-11,2026-02-10,pending,PRJ-016
INV-202601-0218,Adani Group,1281659,INR,2026-01-09,2026-02-08,draft,PRJ-010
INV-202602-0219,Maruti Suzuki,1417738,AED,2026-02-18,2026-03-20,paid,PRJ-019
INV-202605-0220,Flipkart,555871,USD,2026-05-16,2026-06-15,overdue,PRJ-029
INV-202603-0221,Sun Pharma,286655,INR,2026-03-23,2026-04-22,draft,PRJ-005
INV-202601-0222,Airtel Business,255035,AED,2026-01-05,2026-02-04,draft,PRJ-028
INV-202604-0223,CRED,599301,AED,2026-04-10,2026-05-10,overdue,PRJ-020
INV-202605-0224,CRED,1607115,AED,2026-05-11,2026-06-10,draft,PRJ-029
INV-202602-0225,Oracle Retail,671741,SGD,2026-02-18,2026-03-20,draft,PRJ-002
INV-202602-0226,Amazon India,321680,INR,2026-02-06,2026-03-08,paid,PRJ-016
INV-202604-0227,Airtel Business,352999,SGD,2026-04-04,2026-05-04,draft,PRJ-002
INV-202604-0228,Lupin Pharma,757676,SGD,2026-04-16,2026-05-16,paid,PRJ-028
INV-202601-0229,Adidas India,1827977,USD,2026-01-12,2026-02-11,paid,PRJ-007
INV-202606-0230,Jio Platforms,388860,USD,2026-06-17,2026-07-17,overdue,PRJ-019
INV-202605-0231,Unilever India,1238254,USD,2026-05-01,2026-05-31,pending,PRJ-014
INV-202606-0232,Nimbus Health,526229,SGD,2026-06-04,2026-07-04,overdue,PRJ-001
INV-202604-0233,Jio Platforms,1438815,INR,2026-04-12,2026-05-12,paid,PRJ-027
INV-202601-0234,L&T Infotech,332490,INR,2026-01-15,2026-02-14,draft,PRJ-015
INV-202603-0235,Coca-Cola India,574801,INR,2026-03-02,2026-04-01,draft,PRJ-011
INV-202602-0236,Adidas India,1549979,USD,2026-02-28,2026-03-30,paid,PRJ-026
INV-202601-0237,Nestle India,603397,AED,2026-01-24,2026-02-23,paid,PRJ-018
INV-202604-0238,Sony India,809834,INR,2026-04-09,2026-05-09,pending,PRJ-008
INV-202601-0239,Swiggy,1825117,SGD,2026-01-01,2026-01-31,pending,PRJ-006
INV-202603-0240,Asian Paints,1644714,SGD,2026-03-21,2026-04-20,pending,PRJ-004
INV-202606-0241,Mahindra Group,1039376,SGD,2026-06-26,2026-07-26,overdue,PRJ-029
INV-202603-0242,ITC Limited,1275659,USD,2026-03-22,2026-04-21,paid,PRJ-027
INV-202604-0243,Britannia,1085111,USD,2026-04-15,2026-05-15,draft,PRJ-016
INV-202601-0244,Vodafone Idea,1190816,SGD,2026-01-25,2026-02-24,draft,PRJ-026
INV-202604-0245,Britannia,1297374,USD,2026-04-21,2026-05-21,draft,PRJ-003
INV-202604-0246,Bluepeak Logistics,1086555,AED,2026-04-22,2026-05-22,pending,PRJ-021
INV-202604-0247,ITC Limited,1506602,USD,2026-04-17,2026-05-17,paid,PRJ-010
INV-202604-0248,Sun Pharma,927201,INR,2026-04-10,2026-05-10,pending,PRJ-005
INV-202602-0249,ITC Limited,1903526,AED,2026-02-17,2026-03-19,draft,PRJ-010
INV-202601-0250,Samsung India,110093,INR,2026-01-17,2026-02-16,paid,PRJ-017
INV-202604-0251,Tech Mahindra,876164,INR,2026-04-22,2026-05-22,overdue,PRJ-012
INV-202605-0252,Airtel Business,1238024,INR,2026-05-01,2026-05-31,paid,PRJ-024
INV-202602-0253,Unilever India,980727,USD,2026-02-27,2026-03-29,draft,PRJ-002
INV-202603-0254,MEA Retail Group,882942,AED,2026-03-19,2026-04-18,draft,PRJ-025
INV-202603-0255,Unilever India,953609,AED,2026-03-28,2026-04-27,pending,PRJ-007
INV-202606-0256,Flipkart,174040,AED,2026-06-04,2026-07-04,draft,PRJ-018
INV-202601-0257,Horizon Retail,22262,SGD,2026-01-01,2026-01-31,pending,PRJ-021
INV-202606-0258,Cipla,975031,SGD,2026-06-24,2026-07-24,draft,PRJ-010
INV-202606-0259,PepsiCo India,1715262,AED,2026-06-22,2026-07-22,draft,PRJ-026
INV-202602-0260,Mahindra Group,193784,USD,2026-02-01,2026-03-03,pending,PRJ-004
INV-202601-0261,Razorpay,43313,USD,2026-01-07,2026-02-06,draft,PRJ-021
INV-202604-0262,Wipro Healthcare,1372603,USD,2026-04-27,2026-05-27,pending,PRJ-003
INV-202602-0263,Mahindra Group,1624222,SGD,2026-02-16,2026-03-18,draft,PRJ-001
INV-202606-0264,Reliance Digital,358348,USD,2026-06-23,2026-07-23,draft,PRJ-016
INV-202605-0265,Cipla,51162,SGD,2026-05-08,2026-06-07,pending,PRJ-010
INV-202601-0266,Samsung India,1749484,SGD,2026-01-11,2026-02-10,paid,PRJ-004
INV-202604-0267,Coca-Cola India,1787607,SGD,2026-04-28,2026-05-28,draft,PRJ-024
INV-202601-0268,LG India,1259566,AED,2026-01-16,2026-02-15,draft,PRJ-016
INV-202602-0269,Godrej,1249499,SGD,2026-02-23,2026-03-25,paid,PRJ-017
INV-202605-0270,Horizon Retail,895007,AED,2026-05-03,2026-06-02,overdue,PRJ-029
INV-202601-0271,Nestle India,884800,SGD,2026-01-16,2026-02-15,overdue,PRJ-015
INV-202602-0272,Raymond,924840,INR,2026-02-10,2026-03-12,pending,PRJ-016
INV-202605-0273,Adani Group,928784,USD,2026-05-08,2026-06-07,overdue,PRJ-030
INV-202602-0274,Sony India,1799822,SGD,2026-02-10,2026-03-12,draft,PRJ-014
INV-202604-0275,CRED,1983833,AED,2026-04-26,2026-05-26,pending,PRJ-020
INV-202606-0276,HDFC Bank,602355,INR,2026-06-16,2026-07-16,pending,PRJ-006
INV-202601-0277,Amazon India,337814,SGD,2026-01-26,2026-02-25,draft,PRJ-016
INV-202605-0278,Mahindra Group,502241,USD,2026-05-02,2026-06-01,paid,PRJ-012
INV-202602-0279,Airtel Business,758775,USD,2026-02-27,2026-03-29,paid,PRJ-026
INV-202601-0280,Nimbus Health,718281,SGD,2026-01-20,2026-02-19,pending,PRJ-004
INV-202603-0281,Hero MotoCorp,479962,SGD,2026-03-11,2026-04-10,overdue,PRJ-025
INV-202602-0282,Bluepeak Logistics,1625006,AED,2026-02-28,2026-03-30,paid,PRJ-023
INV-202604-0283,Vertex Financial,1953288,SGD,2026-04-27,2026-05-27,paid,PRJ-004
INV-202605-0284,Paytm,1290463,INR,2026-05-02,2026-06-01,paid,PRJ-006
INV-202603-0285,Coca-Cola India,257588,USD,2026-03-06,2026-04-05,overdue,PRJ-023
INV-202606-0286,Lupin Pharma,1607955,SGD,2026-06-28,2026-07-28,paid,PRJ-005
INV-202602-0287,Nestle India,772811,AED,2026-02-04,2026-03-06,pending,PRJ-015
INV-202602-0288,HCL Technologies,1623169,INR,2026-02-27,2026-03-29,draft,PRJ-011
INV-202601-0289,Jio Platforms,1069109,USD,2026-01-09,2026-02-08,overdue,PRJ-023
INV-202606-0290,Zomato,880336,AED,2026-06-22,2026-07-22,pending,PRJ-005
INV-202602-0291,Zomato,1590219,SGD,2026-02-05,2026-03-07,draft,PRJ-014
INV-202605-0292,HCL Technologies,1893379,SGD,2026-05-26,2026-06-25,overdue,PRJ-001
INV-202606-0293,Lupin Pharma,315312,INR,2026-06-26,2026-07-26,paid,PRJ-003
INV-202602-0294,SBI Life,670193,SGD,2026-02-14,2026-03-16,paid,PRJ-013
INV-202605-0295,Zomato,87791,USD,2026-05-02,2026-06-01,overdue,PRJ-014
INV-202606-0296,Maruti Suzuki,1867621,AED,2026-06-24,2026-07-24,overdue,PRJ-030
INV-202605-0297,Adani Group,26572,AED,2026-05-20,2026-06-19,pending,PRJ-023
INV-202605-0298,Maruti Suzuki,945726,USD,2026-05-20,2026-06-19,draft,PRJ-023
INV-202602-0299,Adani Group,1871589,SGD,2026-02-10,2026-03-12,paid,PRJ-002
INV-202606-0300,Bajaj Auto,711482,SGD,2026-06-24,2026-07-24,pending,PRJ-017
INV-202601-0301,Bajaj Auto,605439,USD,2026-01-17,2026-02-16,overdue,PRJ-017
INV-202601-0302,SBI Life,1597641,USD,2026-01-01,2026-01-31,overdue,PRJ-008
INV-202606-0303,CRED,1633526,AED,2026-06-14,2026-07-14,paid,PRJ-024
INV-202603-0304,Vertex Financial,1774928,AED,2026-03-21,2026-04-20,overdue,PRJ-004
INV-202604-0305,Vertex Financial,1596621,INR,2026-04-10,2026-05-10,paid,PRJ-015
INV-202603-0306,SBI Life,505131,USD,2026-03-10,2026-04-09,overdue,PRJ-022
INV-202606-0307,Paytm,1719345,USD,2026-06-13,2026-07-13,pending,PRJ-004
INV-202603-0308,L&T Infotech,1093077,USD,2026-03-15,2026-04-14,paid,PRJ-005
INV-202601-0309,Page Industries,902741,SGD,2026-01-03,2026-02-02,paid,PRJ-014
INV-202604-0310,Infosys Consulting,1008775,USD,2026-04-03,2026-05-03,overdue,PRJ-022
INV-202603-0311,Titan,854635,SGD,2026-03-19,2026-04-18,draft,PRJ-021
INV-202606-0312,Tech Mahindra,932914,SGD,2026-06-14,2026-07-14,pending,PRJ-005
INV-202606-0313,Godrej,276598,SGD,2026-06-15,2026-07-15,pending,PRJ-023
INV-202606-0314,Godrej,1820411,INR,2026-06-07,2026-07-07,draft,PRJ-016
INV-202605-0315,Bluepeak Logistics,1575516,USD,2026-05-12,2026-06-11,paid,PRJ-020
INV-202601-0316,Freshworks,866937,INR,2026-01-12,2026-02-11,overdue,PRJ-002
INV-202603-0317,Titan,331502,INR,2026-03-10,2026-04-09,overdue,PRJ-010
INV-202602-0318,Jio Platforms,1029059,INR,2026-02-05,2026-03-07,draft,PRJ-002
INV-202602-0319,Mahindra Group,1874488,AED,2026-02-06,2026-03-08,draft,PRJ-001
INV-202601-0320,Reliance Digital,1158268,AED,2026-01-28,2026-02-27,paid,PRJ-014
INV-202605-0321,Cipla,1211792,AED,2026-05-15,2026-06-14,overdue,PRJ-026
INV-202602-0322,Asian Paints,1006624,USD,2026-02-17,2026-03-19,draft,PRJ-025
INV-202602-0323,Lupin Pharma,1409263,SGD,2026-02-28,2026-03-30,overdue,PRJ-003
INV-202604-0324,PhonePe,1320238,SGD,2026-04-08,2026-05-08,draft,PRJ-011
INV-202606-0325,Bajaj Auto,106090,SGD,2026-06-09,2026-07-09,paid,PRJ-028
INV-202605-0326,Oracle Retail,1493123,INR,2026-05-21,2026-06-20,overdue,PRJ-018
INV-202602-0327,Nestle India,269588,INR,2026-02-20,2026-03-22,paid,PRJ-019
INV-202605-0328,Titan,407191,SGD,2026-05-01,2026-05-31,paid,PRJ-022
INV-202603-0329,Bajaj Auto,386949,INR,2026-03-26,2026-04-25,pending,PRJ-008
INV-202601-0330,CRED,1489787,SGD,2026-01-26,2026-02-25,overdue,PRJ-013
INV-202601-0331,LG India,104337,SGD,2026-01-11,2026-02-10,draft,PRJ-006
INV-202604-0332,HCL Technologies,60451,AED,2026-04-09,2026-05-09,paid,PRJ-004
INV-202603-0333,Tata Motors,1146193,USD,2026-03-05,2026-04-04,pending,PRJ-009
INV-202603-0334,Swiggy,197964,USD,2026-03-14,2026-04-13,pending,PRJ-002
INV-202601-0335,PepsiCo India,692184,USD,2026-01-23,2026-02-22,paid,PRJ-010
INV-202602-0336,Asian Paints,217081,AED,2026-02-14,2026-03-16,overdue,PRJ-009
INV-202601-0337,Asian Paints,1984631,INR,2026-01-07,2026-02-06,pending,PRJ-025
INV-202604-0338,Sony India,1238992,USD,2026-04-17,2026-05-17,draft,PRJ-004
INV-202604-0339,Vodafone Idea,137154,AED,2026-04-18,2026-05-18,draft,PRJ-003
INV-202606-0340,Cipla,70621,SGD,2026-06-08,2026-07-08,paid,PRJ-009
INV-202602-0341,Hero MotoCorp,1239293,INR,2026-02-25,2026-03-27,pending,PRJ-010
INV-202601-0342,Samsung India,863008,SGD,2026-01-28,2026-02-27,pending,PRJ-026
INV-202602-0343,Wipro Healthcare,792877,USD,2026-02-18,2026-03-20,draft,PRJ-030
INV-202601-0344,Hero MotoCorp,957371,INR,2026-01-27,2026-02-26,draft,PRJ-027
INV-202601-0345,PepsiCo India,616600,USD,2026-01-02,2026-02-01,draft,PRJ-009
INV-202603-0346,Sony India,536152,SGD,2026-03-27,2026-04-26,pending,PRJ-019
INV-202601-0347,CRED,1080236,AED,2026-01-06,2026-02-05,paid,PRJ-010
INV-202602-0348,MEA Retail Group,839014,INR,2026-02-24,2026-03-26,overdue,PRJ-029
INV-202606-0349,Tech Mahindra,452184,AED,2026-06-11,2026-07-11,overdue,PRJ-025
INV-202602-0350,Page Industries,959418,AED,2026-02-22,2026-03-24,overdue,PRJ-011
INV-202601-0351,HDFC Bank,974269,AED,2026-01-23,2026-02-22,pending,PRJ-021
INV-202601-0352,ACME Manufacturing,1286718,SGD,2026-01-01,2026-01-31,pending,PRJ-014
INV-202604-0353,Hero MotoCorp,1887513,SGD,2026-04-18,2026-05-18,paid,PRJ-026
INV-202605-0354,Nestle India,1375804,INR,2026-05-01,2026-05-31,draft,PRJ-022
INV-202605-0355,Reliance Digital,750283,SGD,2026-05-12,2026-06-11,draft,PRJ-006
INV-202601-0356,CRED,1620541,INR,2026-01-15,2026-02-14,overdue,PRJ-030
INV-202602-0357,Amazon India,942346,INR,2026-02-24,2026-03-26,paid,PRJ-025
INV-202602-0358,Vodafone Idea,1437225,AED,2026-02-03,2026-03-05,overdue,PRJ-026
INV-202604-0359,Page Industries,473780,USD,2026-04-12,2026-05-12,paid,PRJ-009
INV-202601-0360,Dabur,1906889,USD,2026-01-07,2026-02-06,draft,PRJ-004
INV-202602-0361,Vodafone Idea,1203493,SGD,2026-02-18,2026-03-20,pending,PRJ-022
INV-202601-0362,Nike India,1196373,USD,2026-01-19,2026-02-18,pending,PRJ-024
INV-202605-0363,Nimbus Health,277241,AED,2026-05-28,2026-06-27,pending,PRJ-029
INV-202602-0364,Titan,1538611,AED,2026-02-28,2026-03-30,paid,PRJ-023
INV-202606-0365,ITC Limited,1127659,AED,2026-06-18,2026-07-18,draft,PRJ-001
INV-202603-0366,Tech Mahindra,1354203,INR,2026-03-14,2026-04-13,draft,PRJ-009
INV-202604-0367,Reliance Digital,1436427,SGD,2026-04-12,2026-05-12,paid,PRJ-029
INV-202603-0368,Adidas India,480911,INR,2026-03-14,2026-04-13,draft,PRJ-011
INV-202603-0369,ACME Manufacturing,831787,USD,2026-03-03,2026-04-02,paid,PRJ-024
INV-202601-0370,ICICI Bank,1456088,SGD,2026-01-08,2026-02-07,pending,PRJ-006
INV-202606-0371,SBI Life,661807,INR,2026-06-21,2026-07-21,paid,PRJ-001
INV-202605-0372,Cipla,915862,INR,2026-05-26,2026-06-25,overdue,PRJ-027
INV-202604-0373,Airtel Business,528318,INR,2026-04-08,2026-05-08,overdue,PRJ-027
INV-202605-0374,Vertex Financial,1733090,AED,2026-05-26,2026-06-25,pending,PRJ-003
INV-202601-0375,Swiggy,1268217,SGD,2026-01-21,2026-02-20,draft,PRJ-019
INV-202601-0376,Reliance Digital,189379,INR,2026-01-13,2026-02-12,overdue,PRJ-029
INV-202602-0377,Freshworks,1464089,INR,2026-02-02,2026-03-04,draft,PRJ-002
INV-202601-0378,Mahindra Group,1290811,SGD,2026-01-04,2026-02-03,paid,PRJ-018
INV-202604-0379,Vertex Financial,628485,SGD,2026-04-04,2026-05-04,draft,PRJ-008
INV-202604-0380,Sony India,1661454,INR,2026-04-13,2026-05-13,draft,PRJ-026
INV-202603-0381,Tech Mahindra,1855364,INR,2026-03-21,2026-04-20,paid,PRJ-015
INV-202601-0382,Titan,698272,USD,2026-01-04,2026-02-03,paid,PRJ-020
INV-202605-0383,Page Industries,151651,USD,2026-05-05,2026-06-04,overdue,PRJ-012
INV-202602-0384,HCL Technologies,1019567,SGD,2026-02-08,2026-03-10,pending,PRJ-026
INV-202603-0385,Bluepeak Logistics,136859,USD,2026-03-19,2026-04-18,draft,PRJ-017
INV-202603-0386,Nestle India,1592036,AED,2026-03-19,2026-04-18,pending,PRJ-005
INV-202603-0387,Cipla,657337,AED,2026-03-12,2026-04-11,paid,PRJ-017
INV-202601-0388,LG India,1389248,USD,2026-01-08,2026-02-07,paid,PRJ-014
INV-202606-0389,Adani Group,419798,USD,2026-06-07,2026-07-07,paid,PRJ-011
INV-202606-0390,Amazon India,1410604,SGD,2026-06-23,2026-07-23,draft,PRJ-020
INV-202605-0391,Raymond,704462,AED,2026-05-10,2026-06-09,draft,PRJ-011
INV-202601-0392,Oracle Retail,229881,SGD,2026-01-16,2026-02-15,pending,PRJ-030
INV-202606-0393,ACME Manufacturing,1349591,USD,2026-06-08,2026-07-08,draft,PRJ-020
INV-202606-0394,HDFC Bank,511259,SGD,2026-06-25,2026-07-25,overdue,PRJ-026
INV-202604-0395,Nike India,798344,USD,2026-04-06,2026-05-06,paid,PRJ-012
INV-202601-0396,ACME Manufacturing,164625,AED,2026-01-18,2026-02-17,paid,PRJ-005
INV-202606-0397,Jio Platforms,933602,USD,2026-06-19,2026-07-19,overdue,PRJ-002
INV-202603-0398,Horizon Retail,427590,USD,2026-03-06,2026-04-05,pending,PRJ-029
INV-202603-0399,Airtel Business,1517509,USD,2026-03-28,2026-04-27,pending,PRJ-006
INV-202603-0400,Amazon India,55072,USD,2026-03-04,2026-04-03,paid,PRJ-027
INV-202606-0401,ITC Limited,297820,SGD,2026-06-26,2026-07-26,paid,PRJ-011
INV-202602-0402,HDFC Bank,649783,SGD,2026-02-12,2026-03-14,overdue,PRJ-022
INV-202606-0403,Oracle Retail,1983759,SGD,2026-06-03,2026-07-03,paid,PRJ-005
